youtube,utm_content,utm_source,utm_medium,landing_referer,count
15027,linustechtips,youtube,influencer,https://www.youtube.com/watch?v=Zgy5fX-VPCs,7
436,techsource,youtube,influencer,https://www.youtube.com/watch?v=zCXq6OmR2iA,7
15074,unboxtherapy,youtube,influencer,https://www.youtube.com/watch?v=yhavtVpEW2E,3
418,jayztwocents,youtube,influencer,https://www.youtube.com/watch?v=Y2FRXlL0yKk,2
15004,linustechtips,youtube,influencer,https://www.youtube.com/watch?v=xDnAGVcvUlU&list=PL8mG-RkN2uTwtm6Of52mgPG1OboxDlAlA&index=7,1
15004,linustechtips,youtube,influencer,https://www.youtube.com/watch?v=xDnAGVcvUlU&ebc=ANyPxKp1z9DdBa3w7VRcPrTyjpR_6wHoUK6VwJy_C646QTub1yiWcWFcHbDjyd5Z5iCQvigN6ILG,1
15004,linustechtips,youtube,influencer,https://www.youtube.com/watch?v=xDnAGVcvUlU,3
416,randomfrankp,youtube,influencer,https://www.youtube.com/watch?v=wVW7H2Bpd3w,19
15008,mkbhd,youtube,influencer,https://www.youtube.com/watch?v=WmhKCq0vfjE&list=WL&index=22,1
15008,mkbhd,youtube,influencer,https://www.youtube.com/watch?v=WmhKCq0vfjE&feature=youtu.be,1
15008,mkbhd,youtube,influencer,https://www.youtube.com/watch?v=WmhKCq0vfjE,8
15004,linustechtips,youtube,influencer,https://www.youtube.com/watch?v=W3Dz5SDQQus,1
417,techquickie,youtube,influencer,https://www.youtube.com/watch?v=VDCl-PysXLE,1
15004,linustechtips,youtube,influencer,https://www.youtube.com/watch?v=Um9SLMQkh7g,1
416,randomfrankp,youtube,influencer,https://www.youtube.com/watch?v=ULoMu-hnxw0,1
437,techsource,youtube,influencer,https://www.youtube.com/watch?v=taSV08COYcg,4
446,techsource,youtube,influencer,https://www.youtube.com/watch?v=s7P5iPqtOzY&list=PLTW2MN17j-L1_ZztXsby2l2R9RJHoajsY&index=1,1
446,techsource,youtube,influencer,https://www.youtube.com/watch?v=s7P5iPqtOzY&index=7&list=UUhIZGfcnjHI0DG4nweWEduw,1
446,techsource,youtube,influencer,https://www.youtube.com/watch?v=s7P5iPqtOzY,12
15049,linustechtips,youtube,influencer,https://www.youtube.com/watch?v=s2334eeA9Zs,1
15073,unboxtherapy,youtube,influencer,https://www.youtube.com/watch?v=rKxrwXc_KEU,5
15073,unboxtherapy,youtube,influencer,https://www.youtube.com/watch?v=RHSbb7M3qXg,1
15004,linustechtips,youtube,influencer,https://www.youtube.com/watch?v=qDLQ7FjPMf8,4
15005,jayztwocents,youtube,influencer,https://www.youtube.com/watch?v=PzHW6Jybp9g,3
15004,linustechtips,youtube,influencer,https://www.youtube.com/watch?v=PVgAWMp33Ss,3
434,teksyndicate,youtube,influencer,https://www.youtube.com/watch?v=pNGBZln8RMM,2
418,jayztwocents,youtube,influencer,https://www.youtube.com/watch?v=pK62-uABbTk,1
444,linustechtips,youtube,influencer,https://www.youtube.com/watch?v=PJg8OB5m7Ak,16
15004,linustechtips,youtube,influencer,https://www.youtube.com/watch?v=oLvoRZds3iQ,1
15009,randomfrankp,youtube,influencer,https://www.youtube.com/watch?v=NuQxDrIHWzk,11
15007,linustechtips,youtube,influencer,https://www.youtube.com/watch?v=KxAT8cKxdOc&spfreload=10,1
15007,linustechtips,youtube,influencer,https://www.youtube.com/watch?v=KxAT8cKxdOc&index=4&list=WL,1
15007,linustechtips,youtube,influencer,https://www.youtube.com/watch?v=KxAT8cKxdOc,36
15047,randomfrankp,youtube,influencer,https://www.youtube.com/watch?v=KKTwoW51AkI,3
15013,linustechtips,youtube,influencer,https://www.youtube.com/watch?v=KBtngHz22AU&feature=em-uploademail,1
15013,linustechtips,youtube,influencer,https://www.youtube.com/watch?v=KBtngHz22AU,32
15010,techsource,youtube,influencer,https://www.youtube.com/watch?v=HVLuUuZAC5U,3
15004,linustechtips,youtube,influencer,https://www.youtube.com/watch?v=HL914RkJO_g,2
421,jonathanmorrison,youtube,influencer,https://www.youtube.com/watch?v=hhlEG8HEGzQ&list=TLdZGujlNieRcxNzEyMjAxNQ&index=2,1
421,jonathanmorrison,youtube,influencer,https://www.youtube.com/watch?v=hhlEG8HEGzQ&feature=youtu.be,1
421,jonathanmorrison,youtube,influencer,https://www.youtube.com/watch?v=hhlEG8HEGzQ,28
15052,barnacules,youtube,influencer,https://www.youtube.com/watch?v=GYBr2LcRdr8&nohtml5=False,1
15052,barnacules,youtube,influencer,https://www.youtube.com/watch?v=GYBr2LcRdr8,1
15048,barnacules,youtube,influencer,https://www.youtube.com/watch?v=GYBr2LcRdr8,1
15004,linustechtips,youtube,influencer,https://www.youtube.com/watch?v=gCWS4Eca9fM,2
15004,linustechtips,youtube,influencer,https://www.youtube.com/watch?v=FrdRtuUdvVQ,1
443,linustechtips,youtube,influencer,https://www.youtube.com/watch?v=fKEES_EaHrY,5
15004,linustechtips,youtube,influencer,https://www.youtube.com/watch?v=EwRmBf06sGE,1
15001,randomfrankp,youtube,influencer,https://www.youtube.com/watch?v=eI1m-rJ3bGY,2
15015,linustechtips,youtube,influencer,https://www.youtube.com/watch?v=dvkDKucAI1M,11
15046,linustechtips,youtube,influencer,https://www.youtube.com/watch?v=D1o2HBm_uNk,3
15019,linustechtips,youtube,influencer,https://www.youtube.com/watch?v=cx8rS9_vNDo,3
15028,tjhunt,youtube,influencer,https://www.youtube.com/watch?v=CmuYsBWzUGE,1
15024,mkbhd,youtube,influencer,https://www.youtube.com/watch?v=C-8Ux5ZQLLI,1
434,teksyndicate,youtube,influencer,https://www.youtube.com/watch?v=BXAMt3Mk648,1
15062,jayztwocents,youtube,influencer,https://www.youtube.com/watch?v=9DgK03Ie8vQ,1
15014,linustechtips,youtube,influencer,https://www.youtube.com/watch?v=8Xanr4jkmEc,22
405,linustechtips,youtube,influencer,https://www.youtube.com/watch?v=8b6JvY-K1Kk,3
15025,linustechtips,youtube,influencer,https://www.youtube.com/watch?v=7JoEdrR0z6I,3
15091,unboxtherapy,youtube,influencer,https://www.youtube.com/watch?v=76FTljZ5Fdg,1
419,teksyndicate,youtube,influencer,https://www.youtube.com/watch?v=6_B8pVoANyY,2
417,techquickie,youtube,influencer,https://www.youtube.com/watch?v=5Ey-KObDABI,1
422,austinevans,youtube,influencer,https://www.youtube.com/watch?v=4GxBzfopmo0&list=WL&index=4,1
422,austinevans,youtube,influencer,https://www.youtube.com/watch?v=4GxBzfopmo0&index=4&list=WL,1
422,austinevans,youtube,influencer,https://www.youtube.com/watch?v=4GxBzfopmo0&feature=youtu.be,2
422,austinevans,youtube,influencer,https://www.youtube.com/watch?v=4GxBzfopmo0,26
15004,linustechtips,youtube,influencer,https://www.youtube.com/watch?v=2_GXkjPAkDw,2
15010,techsource,youtube,influencer,https://www.youtube.com/watch?v=1TCRlKktr_4,4
435,hardwarecanucks,youtube,influencer,https://www.youtube.com/watch?v=1CJ34_o-04c,1
445,techsource,youtube,influencer,https://www.youtube.com/watch?v=0BmpwfpKB_o,6
410,paulshardware,youtube,influencer,https://www.youtube.com/watch?v=-FVtyZPkMx4&list=WL&index=46,1
410,paulshardware,youtube,influencer,https://www.youtube.com/watch?v=-FVtyZPkMx4,1
15011,tolariancommunitycollege,youtube,influencer,https://www.youtube.com/watch?v=-8l9iHjyOws,2
434,teksyndicate,youtube,influencer,https://www.youtube.com/watch?v=_WQejZDgDVE,1
