discovery keyword,channel name,email,country,URL,AVG views,AVG engagement,notes,reachOut,total subs,date recorded,sampleSize,id,categoryId
how to dress as a guy,TheNotAdam,testEmail,US,https://www.youtube.com/channel/UCSm-_hWKYyybB-m1VqOYfPw/about,"16,525.63",9.40%,no notes,0,134132,2018-05-17 15:14:42,8,UCSm-_hWKYyybB-m1VqOYfPw,People & Blogs
ootd guy,Mango Street,testEmail,US,https://www.youtube.com/channel/UC5bp5_6h-ZxkBz6S_33ZUVg/about,"60,058.86",8.85%,no notes,0,628961,2018-05-17 15:16:44,16,UC5bp5_6h-ZxkBz6S_33ZUVg,Education
dude fashion,The Voodoo Child,testEmail,US,https://www.youtube.com/channel/UC_XcYr-3JNkhlS6IFZN9Fig/about,"10,304.87",8.81%,no notes,0,76967,2018-05-17 15:13:57,15,UC_XcYr-3JNkhlS6IFZN9Fig,People & Blogs
streewear trends,NameBran,testEmail,country not detected,https://www.youtube.com/channel/UCdcRYMnlIQs4PcecZrXEQlw/about,"10,049.59",7.86%,no notes,1,306968,2018-05-30 16:42:25,18,UCdcRYMnlIQs4PcecZrXEQlw,How-to & Style
streewear trends,Hana Lee,testEmail,US,https://www.youtube.com/channel/UCo4AJ7G2Qf5XXaH0CToSc1A/about,"14,699.08",7.78%,no notes,0,108551,2018-05-30 16:42:22,12,UCo4AJ7G2Qf5XXaH0CToSc1A,How-to & Style
streewear trends,Q2HAN,testEmail,country not detected,https://www.youtube.com/channel/UCxANYxgMTfJp3ZE8opnvJvQ/about,"39,706.33",7.77%,no notes,0,333044,2018-05-30 16:42:00,9,UCxANYxgMTfJp3ZE8opnvJvQ,How-to & Style
dude fashion advice,Eddie Win,testEmail,country not detected,https://www.youtube.com/channel/UCilIoZLdZ3Bl6h-DCqvgcyQ/about,"9,756.86",7.69%,no notes,1,104094,2018-05-17 15:14:58,8,UCilIoZLdZ3Bl6h-DCqvgcyQ,How-to & Style
mens fashion subtle statement,NICK,testEmail,CA,https://www.youtube.com/channel/UCx4Y7USnN0Rb2ZtGCM60C1w/about,"59,838.30",7.54%,no notes,1,52621,2018-05-31 16:51:40,11,UCx4Y7USnN0Rb2ZtGCM60C1w,People & Blogs
sweater for men,VeryPink Knits,testEmail,US,https://www.youtube.com/channel/UCrRT4LwemxYrZxj-HeCkK9Q/about,"9,177.90",7.31%,no notes,0,259240,2018-05-17 15:12:48,11,UCrRT4LwemxYrZxj-HeCkK9Q,How-to & Style
jacksucksatlife,JackSucksAtLife,testEmail,GB,https://www.youtube.com/channel/UCewMTclBJZPaNEfbf-qYMGA/about,"72,539.86",7.29%,no notes,0,409449,2018-05-31 10:05:56,7,UCewMTclBJZPaNEfbf-qYMGA,Comedy
sweater for men,BAG-O-DAY CROCHET & MORE,testEmail,US,https://www.youtube.com/channel/UCIVgwNInFTcstc0cILr5Kpg/about,"12,453.42",7.21%,no notes,0,339775,2018-05-17 15:12:58,25,UCIVgwNInFTcstc0cILr5Kpg,How-to & Style
jacksucksatlife,Dangthatsalongname,testEmail,GB,https://www.youtube.com/channel/UCxucf8O8itcmkqu3d7yUavg/about,"48,413.50",7.01%,no notes,0,405738,2018-05-31 10:06:01,24,UCxucf8O8itcmkqu3d7yUavg,Gaming
sweater for men,Annoo Crochet Designs,testEmail,US,https://www.youtube.com/channel/UCmne1QCpZtMPZvqJxSRI4kw/about,"10,628.85",6.86%,no notes,5,141528,2018-05-17 15:12:42,14,UCmne1QCpZtMPZvqJxSRI4kw,How-to & Style
mens fashion inspiration week,Drew Scott,testEmail,US,https://www.youtube.com/channel/UCPJsiGiTpWwNTaXN4cD7n_A/about,"20,413.54",6.83%,no notes,1,372602,2018-05-31 16:48:34,14,UCPJsiGiTpWwNTaXN4cD7n_A,People & Blogs
mens fashion collective fall winter pickups,SneakerTalk,testEmail,CA,https://www.youtube.com/channel/UCo44inc4e4hvEaa1U5HpRqg/about,"10,417.50",6.47%,no notes,0,203706,2018-05-31 16:49:13,6,UCo44inc4e4hvEaa1U5HpRqg,People & Blogs
street fashion advice,Carly Cristman,testEmail,country not detected,https://www.youtube.com/channel/UCyIXU59CyRSAXh6f6yIjJTw/about,"43,935.60",6.40%,no notes,0,773311,2018-05-17 15:16:15,5,UCyIXU59CyRSAXh6f6yIjJTw,How-to & Style
ootd guy,Edward Zo,testEmail,US,https://www.youtube.com/channel/UCgo7k0Oq88UBCi_Won67JTA/about,"48,604.81",6.33%,no notes,1,279716,2018-05-17 15:16:36,18,UCgo7k0Oq88UBCi_Won67JTA,How-to & Style
fit guys do everyday,blogilates,testEmail,US,https://www.youtube.com/channel/UCIJwWYOfsCfz6PjxbONYXSg/about,"82,900.00",6.08%,no notes,0,4173571,2018-05-30 16:41:04,2,UCIJwWYOfsCfz6PjxbONYXSg,How-to & Style
street fashion advice,Wishtrend TV,testEmail,country not detected,https://www.youtube.com/channel/UC6sK-8-j1jmQFuxmuk9ainw/about,"22,945.25",6.08%,no notes,0,579644,2018-05-17 15:16:25,4,UC6sK-8-j1jmQFuxmuk9ainw,How-to & Style
dude fashion advice,Liza Koshy,testEmail,US,https://www.youtube.com/channel/UCxSz6JVYmzVhtkraHWZC7HQ/about,"8,250,537.43",6.01%,no notes,0,14449496,2018-05-17 15:15:01,22,UCxSz6JVYmzVhtkraHWZC7HQ,Comedy
best short haircut for men,Robin James,testEmail,GB,https://www.youtube.com/channel/UC0zYuwJf9-i3ROZ1F30gV4w/about,"12,193.93",5.95%,no notes,0,216469,2018-05-31 16:46:44,15,UC0zYuwJf9-i3ROZ1F30gV4w,How-to & Style
streewear trends,stylebysrxgs,testEmail,US,https://www.youtube.com/channel/UC8opu7RhDGpEsNrhCvQcJWQ/about,"10,225.48",5.84%,no notes,1,56193,2018-05-30 16:42:57,25,UC8opu7RhDGpEsNrhCvQcJWQ,How-to & Style
fashion for men,Jesse,testEmail,US,https://www.youtube.com/channel/UCgefQJC5UgbWJHDxBqB4qVg/about,"1,569,079.05",5.67%,no notes,0,10508733,2018-05-17 15:12:32,24,UCgefQJC5UgbWJHDxBqB4qVg,Comedy
mens fashion collective fall winter pickups,Sangiev,testEmail,GB,https://www.youtube.com/channel/UCrEFCdOOfJHZi5tvnS0jLlA/about,"31,965.08",5.41%,no notes,0,69938,2018-05-31 16:49:19,25,UCrEFCdOOfJHZi5tvnS0jLlA,How-to & Style
mens fashion inspiration week,Nathalie Paris,testEmail,country not detected,https://www.youtube.com/channel/UCHxHR63YDdwzBbMRZwC6ZZQ/about,"88,326.56",5.34%,no notes,0,1219873,2018-05-31 16:48:38,17,UCHxHR63YDdwzBbMRZwC6ZZQ,How-to & Style
fashion for men,One Dapper Street,testEmail,country not detected,https://www.youtube.com/channel/UCoxWvJUqQWuWY6kkx1CBHZw/about,"14,530.80",5.19%,no notes,1,68546,2018-05-17 15:12:34,11,UCoxWvJUqQWuWY6kkx1CBHZw,How-to & Style
how to tie a tie,Christine Kobzeff,testEmail,US,https://www.youtube.com/channel/UCg9f9knI31hrUYBN8ey0m6Q/about,"40,256.37",5.19%,no notes,0,763090,2018-05-17 15:15:44,20,UCg9f9knI31hrUYBN8ey0m6Q,How-to & Style
mens fashion lookbook,Gallucks,testEmail,GB,https://www.youtube.com/channel/UCgL9g1sShIgPcseyyKzhG5Q/about,"8,973.54",5.18%,no notes,0,90352,2018-05-31 16:48:25,14,UCgL9g1sShIgPcseyyKzhG5Q,How-to & Style
men fashion advice,Alex Costa,testEmail,US,https://www.youtube.com/channel/UCZyCposXwcyopaACep44maQ/about,"113,145.00",5.12%,no notes,1,1026451,2018-05-17 15:12:07,9,UCZyCposXwcyopaACep44maQ,How-to & Style
mens fashion collective fall winter pickups,Blazendary,testEmail,US,https://www.youtube.com/channel/UCmPxMp-5ZvzFNUp3R3_StuA/about,"252,461.26",5.11%,no notes,0,1121358,2018-05-31 16:49:37,25,UCmPxMp-5ZvzFNUp3R3_StuA,Entertainment
fit guys do everyday,Katie Betzing,testEmail,country not detected,https://www.youtube.com/channel/UCV7YVrESPrTzOjXVwlgJ1pw/about,"161,466.92",5.06%,no notes,0,861753,2018-05-30 16:41:15,25,UCV7YVrESPrTzOjXVwlgJ1pw,Comedy
best sweater guy,TheNeighbourhoodVEVO,testEmail,country not detected,https://www.youtube.com/channel/UCJRqaM_C1asb8fq-zeSps0w/about,"1,203,617.50",4.99%,no notes,0,1530426,2018-05-30 16:32:38,6,UCJRqaM_C1asb8fq-zeSps0w,Music
mens hair tutoial,Travis Bryant,testEmail,US,https://www.youtube.com/channel/UCKRjeLgZ0l5DpEQFUJcFOkQ/about,"47,602.58",4.94%,no notes,0,227104,2018-05-31 16:47:35,25,UCKRjeLgZ0l5DpEQFUJcFOkQ,People & Blogs
men fashion advice,Based Zeus,testEmail,US,https://www.youtube.com/channel/UC1PkRYud11ogYDqgdqd23Zw/about,"170,946.37",4.86%,no notes,0,859195,2018-05-17 15:12:14,20,UC1PkRYud11ogYDqgdqd23Zw,Entertainment
how to dress as a guy,Garret Eckman,testEmail,country not detected,https://www.youtube.com/channel/UCau7GNIuGiO2qrojmWPTL5A/about,"8,596.07",4.84%,no notes,0,23783,2018-05-17 15:14:45,16,UCau7GNIuGiO2qrojmWPTL5A,People & Blogs
how should a suit fit,Gentleman's Gazette,testEmail,US,https://www.youtube.com/channel/UCEgoThiTZG6wbTVA6B1Ksaw/about,"18,669.43",4.81%,no notes,0,227864,2018-05-17 15:15:13,7,UCEgoThiTZG6wbTVA6B1Ksaw,How-to & Style
mens fashion lookbook,Jadon Grundy,testEmail,US,https://www.youtube.com/channel/UCuKr_vLi8Zh_2DVQjrzgukw/about,"8,141.79",4.73%,no notes,0,14642,2018-05-31 16:47:57,25,UCuKr_vLi8Zh_2DVQjrzgukw,How-to & Style
mens hair tutoial,Merijn,testEmail,country not detected,https://www.youtube.com/channel/UCRFUw9QQy7ypUkIe-HOVdZw/about,"47,269.48",4.73%,no notes,0,207231,2018-05-31 16:47:00,25,UCRFUw9QQy7ypUkIe-HOVdZw,Sport
mens fashion lookbook,Ali Gordon,testEmail,GB,https://www.youtube.com/channel/UC4ZKWbtWVdTMh3VCZe3xiYw/about,"31,046.36",4.72%,no notes,0,99439,2018-05-31 16:48:19,15,UC4ZKWbtWVdTMh3VCZe3xiYw,People & Blogs
mens fashion subtle statement,Lisa Eldridge,testEmail,country not detected,https://www.youtube.com/channel/UCFghPtzFcmyDiID1ASMA4Dg/about,"278,772.18",4.70%,no notes,0,1787698,2018-05-31 16:51:10,12,UCFghPtzFcmyDiID1ASMA4Dg,How-to & Style
guy how to dress,Lauren Messiah,testEmail,US,https://www.youtube.com/channel/UC-B4Ec_YqNreCpmmpARAUXQ/about,"11,048.94",4.62%,no notes,0,48671,2018-05-17 15:13:14,18,UC-B4Ec_YqNreCpmmpARAUXQ,How-to & Style
street fashion advice,Asia Jackson,testEmail,US,https://www.youtube.com/channel/UC6ZCeXD14B7WAJO5nsjGryw/about,"30,344.18",4.62%,no notes,0,274916,2018-05-17 15:16:18,23,UC6ZCeXD14B7WAJO5nsjGryw,How-to & Style
guy how to dress,BluMaan,testEmail,country not detected,https://www.youtube.com/channel/UCbq8_4_mFAx_rzDF5VT7MJw/about,"80,957.91",4.61%,no notes,0,1211138,2018-05-17 15:13:04,11,UCbq8_4_mFAx_rzDF5VT7MJw,How-to & Style
mens fashion subtle statement,Sexy Confidence,testEmail,US,https://www.youtube.com/channel/UCQ8tVVAPgaaH8clY_mzNNgw/about,"15,379.00",4.57%,no notes,0,318830,2018-05-31 16:51:00,10,UCQ8tVVAPgaaH8clY_mzNNgw,How-to & Style
mens hair tutoial,The Rhodes Bros,testEmail,US,https://www.youtube.com/channel/UCqaDaQVS1FF80Hf69YpIYTQ/about,"87,628.42",4.54%,no notes,0,731425,2018-05-31 16:47:13,25,UCqaDaQVS1FF80Hf69YpIYTQ,People & Blogs
ootd guy,Seventeen,testEmail,country not detected,https://www.youtube.com/channel/UC0IXvMUUPeYNVGe88ieMDEg/about,"13,631.64",4.47%,no notes,0,879281,2018-05-17 15:16:47,15,UC0IXvMUUPeYNVGe88ieMDEg,How-to & Style
fashion tips for guys,Gabrielle Moses,testEmail,US,https://www.youtube.com/channel/UCFp65-s_fyaBjVZbVyp--Kw/about,"101,828.14",4.43%,no notes,0,303494,2018-05-17 15:13:26,25,UCFp65-s_fyaBjVZbVyp--Kw,How-to & Style
custom id input,The Modest Man,testEmail,US,https://www.youtube.com/channel/UClbfoD1o7sV0VxErpxTCpyw/about,"13,411.53",4.34%,no notes,1,121554,2018-06-01 12:40:20,18,UClbfoD1o7sV0VxErpxTCpyw,How-to & Style
fit guys do everyday,GRM Daily,testEmail,GB,https://www.youtube.com/channel/UCqTwKvjbTENZDGbz2si47ag/about,"10,309.07",4.32%,no notes,0,1067828,2018-05-30 16:41:27,16,UCqTwKvjbTENZDGbz2si47ag,Music
mens hair tutoial,JairWoo,testEmail,country not detected,https://www.youtube.com/channel/UCtk95ovBZbBKYfxIg8RQCSw/about,"9,684.17",4.31%,no notes,0,387364,2018-05-31 16:47:03,25,UCtk95ovBZbBKYfxIg8RQCSw,How-to & Style
best short haircut for men,Jordan O'Brien,testEmail,US,https://www.youtube.com/channel/UCSNtgLG8S073khvrXtoZbog/about,"23,731.50",4.29%,no notes,1,413916,2018-05-31 16:46:01,20,UCSNtgLG8S073khvrXtoZbog,How-to & Style
fashion for dudes,Gavin McInnes,testEmail,country not detected,https://www.youtube.com/channel/UCPGxwlhPEJE89bT4gB6rzhg/about,"48,268.45",4.20%,no notes,0,195997,2018-05-17 15:13:45,12,UCPGxwlhPEJE89bT4gB6rzhg,People & Blogs
sweater for men,Frugal Aesthetic,testEmail,US,https://www.youtube.com/channel/UCyL0RJe41itDFjd70KKZIZQ/about,"233,877.29",4.20%,no notes,0,394693,2018-05-17 15:12:45,18,UCyL0RJe41itDFjd70KKZIZQ,How-to & Style
how should a suit fit,Tyler Stalman,testEmail,CA,https://www.youtube.com/channel/UC6OICk-ceplUJf4sCN3DMnQ/about,"52,364.64",4.17%,no notes,0,85990,2018-05-17 15:15:25,25,UC6OICk-ceplUJf4sCN3DMnQ,Science & Technology
