discovery keyword,channel name,URL,emails,total subs,AVG views,AVG engagement,date recorded,sampleSize
mechanical keyboard review,Linus Tech Tips,https://www.youtube.com/channel/UCXuqSBlHAE6Xw-yeJA0Tunw,testEmail,5724356,691304.0,0.035287418173963025,2018-04-30 10:08:19.525312,13.0
mechanical keyboard review,ScatterVolt,https://www.youtube.com/channel/UCl6ulw6cn3npwxkg_56Ee_w,testEmail,186127,82375.0,0.03533587778846061,2018-04-30 10:08:21.035358,11.0
mechanical keyboard review,randomfrankp,https://www.youtube.com/channel/UChnN9MPURwKV2PbEoT2vhTQ,testEmail,685334,90333.0,0.03779460287340566,2018-04-30 10:08:22.998049,18.0
mechanical keyboard review,TechMeister,https://www.youtube.com/channel/UCTZSF6t4rf3DaLZcyFyRYSg,testEmail,761,2917.0,0.05061981867657366,2018-04-30 10:08:25.591800,25.0
mechanical keyboard review,HardwareCanucks,https://www.youtube.com/channel/UCTzLRZUgelatKZ4nyIKcAbg,testEmail,896027,112365.0,0.04182555098763946,2018-04-30 10:08:27.676083,20.0
keyboard review,Chyrosran22,https://www.youtube.com/channel/UCD0y51PJfvkZNe3y3FR5riw,testEmail,20738,9007.0,0.06326687486726006,2018-04-30 10:08:30.919503,25.0
best mech keys,Paul's Hardware,https://www.youtube.com/channel/UCvWWf-LYjaujE50iYai8WgQ,testEmail,759268,69524.0,0.05037937784499138,2018-04-30 10:08:34.310030,22.0
best mech keys,GrimmGreen,https://www.youtube.com/channel/UCcTfQohClxDpYDBCnuS1azQ,testEmail,364044,20932.0,0.05172986450456353,2018-04-30 10:08:36.465571,16.0
best mechanical keyboards,Explore Gadgets,https://www.youtube.com/channel/UCK-H1e0S8jg-8qoqQ5N8jvw,testEmail,507165,9148.0,0.028108737887400495,2018-04-30 10:08:39.010985,15.0
best mechanical keyboards,PC Centric,https://www.youtube.com/channel/UC54-Zt4_z6W81N5X3OnHCEw,testEmail,92907,10432.0,0.06515466684560156,2018-04-30 10:08:40.402120,11.0
best mechanical keyboards,Brainbean,https://www.youtube.com/channel/UCOUuYK2yMpiDiND3IwxT98g,testEmail,20904,6298.0,0.04322797820467721,2018-04-30 10:08:42.661235,19.0
kira mechanical keyboard,Input Club,https://www.youtube.com/channel/UCjGmH16q4BSxIpRh9LRFDnA,testEmail,756,3045.0,0.009847087137431461,2018-04-30 10:08:45.459546,21.0
kira mechanical keyboard,Rhinofeed,https://www.youtube.com/channel/UC5ClFK9Ko4ACRgXjRZc_GfA,testEmail,17754,12831.0,0.026825870517520757,2018-04-30 10:08:48.810880,25.0
mech keyboard tutorial,TaeKeyboards,https://www.youtube.com/channel/UCllGwtW6scxAjM28fIgEozg,testEmail,28656,19406.5,0.025865474626199123,2018-04-30 10:10:25.737708,25.0
mech keyboard tutorial,Techquickie,https://www.youtube.com/channel/UC0vBXGSyV14uvJ4hECDOl0Q,testEmail,2078717,262695.82608695654,0.04680995190778865,2018-04-30 10:10:28.208475,25.0
mech keyboard tutorial,Joanne Tech Lover,https://www.youtube.com/channel/UCDtH9xTCEPzpR_FJiuZ-hFQ,testEmail,110095,21426.583333333332,0.059965050603626516,2018-04-30 10:19:33.247842,13.0
mech keycaps,Chokkan キーボー道,https://www.youtube.com/channel/UCtLJJRsmtUgCWLj_Ud9URfA,testEmail,2623,987.75,0.05264490002531005,2018-04-30 10:19:35.595881,4.0
mech keycaps,Tested,https://www.youtube.com/channel/UCiDJtJKMICpb9B1qf7qjEOA,testEmail,3237299,31984.35714285714,0.03487731725999987,2018-04-30 10:19:38.259341,16.0
gaming keyboards,TechSource,https://www.youtube.com/channel/UChIZGfcnjHI0DG4nweWEduw,testEmail,1677671,239701.0,0.049729232415093944,2018-04-30 10:19:43.270362,25.0
headphone review,JimsReviewRoom,https://www.youtube.com/channel/UCcGYJndqreqXMUZoOhn3E7A,testEmail,509971,44733.25,0.03864575008522743,2018-04-30 10:19:46.409931,13.0
headphone review,Marques Brownlee,https://www.youtube.com/channel/UCBJycsmduvYEL83R_U4JriQ,testEmail,6068365,1316204.3333333333,0.0581691533204191,2018-04-30 10:19:49.148478,16.0
headphone review,Unbox Therapy,https://www.youtube.com/channel/UCsTcErHg8oDvUnTzoqsYeNw,testEmail,10664145,1997530.8333333333,0.029577599344524096,2018-04-30 10:19:51.423821,13.0
headphone review,Z Reviews,https://www.youtube.com/channel/UC3XdYJjWliOdKuZMNaTiP8Q,testEmail,98704,8970.333333333334,0.037391368973088424,2018-04-30 10:19:55.309946,25.0
